Duration For Bachelor of Business in Administration Management,3 years
Duration For Bachelor of Business in Administration Accounting & Finance,3 years
Duration For Bachelor of Business in Administration Procurement & Logistics,3 years
Duration For Bachelor of Business in Administration Banking & Finance,3 years
Duration For Bachelor of Business in Administration Human Resource Management,3 years
Duration For Bachelor of Business in Administration Marketing, 3 years
Duration For Bachelor of Business in Administration Entrepreneurship, 3 years
Duration For Bachelor of Public in Administration and Management,3 years
Duration For Bachelor of Arts in International Relations & Diplomatic Studies,3 years
Duration For Bachelor of Mass Communication & Journalism (Public Relations/Mass Communication),3 years
Duration For Bachelor of Enviromental Health Science,3 years
Duration For Bachelor of Public Health,3 years
Duration For Bachelor of Information Technology,3 years
Duration For Bachelor of Science in Computer Science,3 years
Duration For Bachelor of Science in Software Engineering,4 years
Duration For Bachelor of Laws,4 years