Bachelor of Business Administration Management,"1,315,000","1,252,000","1,442,000"
Bachelor of Business Administration Accounting & Finance,"1,315,000","1,252,000","1,442,000"
Bachelor of Business Administration Procurement & Logistics,"1,315,000","1,252,000","1,442,000"
Bachelor of Business Administration Banking & Finance,"1,315,000","1,252,000","1,442,000"
Bachelor of Business Administration Human Resource Management,"1,315,000","1,252,000","1,442,000"
Bachelor of Business Administration Marketing,"1,315,000","1,252,000","1,442,000"
Bachelor of Business Administration Entrepreneurship,"1,315,000","1,252,000","1,442,000"
Bachelor of Public Administration and Management,"1,284,000","1,222,000,"00"
Bachelor of Arts in International Relations & Diplomatic Studies,"1,284,000","1,222,000,"00"
Bachelor of Mass Communication & Journalism(Public Relations/Mass Communication),"1,284,000","1,222,000,"00"
Bachelor of Enviromental Health Science,"00,"00","1,725,000"
Bachelor of Public Health,"1,725,000","1,642,000","1,894,000"
Bachelor of Information Technology,"1,617,000","1,539,000,"00"
Bachelor of Science in Computer Science,"1,617,000","00,"00"
Bachelor of Science in Software Engineering,"1,617,000","00,"00"
Bachelor of Laws,"2,307,000","00","2,533,000"
Master of Laws,"00","2,708,000","2,848,000"
Master of Laws Taxation,"00","2,708,000","00"
Masters of Public Health,"00","2,192,000","2,304,000"
Masters of Information Technology,"00","2,192,000","00"
Master of Business Administration,"00","2,083,000","2,190,000"
Master of Business Administration Accounting & Finance,"00","2,083,000","2,190,000"
Master of Business Administration Procurement & Supply Chain Management,"00","2,083,000","2,190,000"
Master of Business Administration Entrepreneurship,"00","2,083,000","2,190,000"
Master of Business Administration Human Resource Management,"00","2,083,000","2,190,000"
Master of Project Planning and Management,"00","2,083,000","2,190,000"
Master of Education Management,"00","1,626,400","1,712,000"
Master of Arts in International Relations and Diplomatic Studies,"00","1,994,000","2,097,000"
Master of Security Studies,"00","1,994,000","2,097,000"
Diploma in Business Administration,"830,000","790,000","00"
Diploma in Information Technology,"830,000","790,000","00"
Diploma in Paralegal Studies,"936,000","00,"00"
Higher Education Certificate  Humanities,"850,000","00,"00"
Higher Education Certificate Physical Sciences,"1,010,000","00,"00"
Higher Education Certificate Biological Sciences,"1,010,000","00,"00"
Short Course in English as a Second Language,"600,000","00,"00"